gid,trip_id,unixtime,north_utm,east_utm,longitude,latitude
302685,818,1543401919,5804538.53064,550785.769082,9.746259000001354,52.38874100002837
302686,818,1543401921,5804535.51976,550785.051488,9.746248000001978,52.388713999984965
302687,818,1543401922,5804532.49555,550783.040887,9.74621799999447,52.38868700004026
302688,818,1543401923,5804529.12431,550779.740721,9.746169000001546,52.388657000030975
302689,818,1543401924,5804523.08992,550777.080567,9.746129000005736,52.38860299999268
302690,818,1543401925,5804517.60887,550774.142456,9.746085000000656,52.388554000021934
302691,818,1543401926,5804511.578,550771.822554,9.74604999999693,52.38850000004496
302692,818,1543401927,5804506.87273,550768.604186,9.746001999992409,52.388457999982506
302693,818,1543401928,5804502.61659,550765.789544,9.745960000005113,52.38841999996582
302694,818,1543401929,5804497.92116,550763.523912,9.74592600000635,52.388377999990325
302695,818,1543401930,5804493.65941,550760.164831,9.745875999994029,52.38833999998895
302696,818,1543401931,5804489.85942,550758.434441,9.745849999994572,52.38830600001641
302697,818,1543401932,5804485.9482,550756.705196,9.745824000005417,52.38827100001834
302698,818,1543401933,5804481.70751,550755.38771,9.745804000005064,52.38823300004015
302699,818,1543401934,5804477.0198,550753.870648,9.74578099999847,52.38819100002689
302700,818,1543401935,5804472.77139,550751.804566,9.745750000000148,52.38815300003162
302701,818,1543401936,5804467.62403,550748.862956,9.74570600000693,52.388106999977296
302702,818,1543401937,5804462.91387,550745.168159,9.74565099999862,52.38806499996667
302703,818,1543401938,5804456.96969,550740.465159,9.74558099999554,52.38801200001491
302704,818,1543401939,5804448.81638,550737.282268,9.745532999997712,52.38793899995958
302705,818,1543401940,5804441.2094,550733.140875,9.745470999997176,52.38787099998714
302706,818,1543401941,5804433.47156,550727.095096,9.74538100000514,52.38780200004114
302707,818,1543401942,5804426.63897,550722.537324,9.74531300000325,52.38774100001747
302708,818,1543401943,5804421.02568,550717.558605,9.745238999997436,52.38769099996883
302709,818,1543401944,5804416.74994,550712.838341,9.745168999996128,52.38765299997849
302710,818,1543401945,5804412.49384,550710.023597,9.745126999999588,52.38761500002416
