gid,trip_id,unixtime,north_utm,east_utm,longitude,latitude,tile_lat_idx,tile_lon_idx
528848,37,1520698427,5804515.44429,550769.196377,9.746012000001246,52.38853499996968,185,334
528849,37,1520698428,5804509.40149,550765.719563,9.745959999998886,52.388480999995,191,330
528850,37,1520698429,5804504.69974,550762.841455,9.745917000006408,52.3884389999918,195,327
528851,37,1520698430,5804499.99659,550759.827234,9.74587200000419,52.38839700000585,200,324
528852,37,1520698431,5804495.29133,550756.608847,9.745824000002957,52.388354999961,205,321
528853,37,1520698432,5804491.48643,550754.40208,9.745790999996055,52.38832099999794,209,319
528854,37,1520698433,5804488.91766,550753.407658,9.745776000005224,52.3882979999614,211,318
528855,37,1520698434,5804485.55487,550750.924084,9.745739000002338,52.38826800003494,214,315
528856,37,1520698435,5804480.86786,550749.475073,9.745716999999926,52.38822599999423,219,314
528857,37,1520698436,5804475.73244,550747.690378,9.745690000000671,52.38818000003521,224,312
528858,37,1520698437,5804471.4714,550744.399322,9.745640999994205,52.38814200000919,228,309
528859,37,1520698438,5804466.31774,550740.845219,9.74558800000144,52.3880960000415,234,305
528860,37,1520698439,5804459.93917,550737.167612,9.74553299999625,52.3880390000406,240,301
528861,37,1520698440,5804454.79182,550734.225979,9.745489000005923,52.3879929999954,245,298
528862,37,1520698441,5804448.74834,550730.681023,9.745435999994353,52.387938999981664,251,295
528863,37,1520698442,5804443.70241,550726.785472,9.74537800000524,52.38789400000296,256,291
528864,37,1520698443,5804438.55086,550723.435492,9.745328000002946,52.38784799997123,261,287
528865,37,1520698444,5804433.40072,550720.221613,9.745279999994894,52.387801999985285,266,284
528866,37,1520698445,5804428.69339,550716.798981,9.745229000005066,52.38776000000173,271,281
528867,37,1520698446,5804422.76957,550714.069492,9.745188000004688,52.3877070000323,277,278
528868,37,1520698447,5804418.06855,550711.259336,9.745146000000098,52.38766500000606,282,275
528869,37,1520698448,5804415.04296,550709.112532,9.745114000003031,52.38763799998038,285,273
528870,37,1520698449,5804412.02158,550707.374052,9.745087999994867,52.38761099997694,288,271
528871,37,1520698450,5804410.32512,550704.669056,9.745047999993934,52.38759599997907,289,268
528872,37,1520698451,5804406.96796,550702.729846,9.74501900000243,52.38756600001959,293,266
528873,37,1520698452,5804402.60694,550700.528725,9.744985999996295,52.38752700000144,297,264
528874,37,1520698453,5804398.35365,550697.986181,9.744947999997883,52.38748900003719,301,261
528875,37,1520698454,5804393.65334,550695.244051,9.744907000007023,52.38744700000672,306,259
528876,37,1520698455,5804388.60533,550691.144253,9.744845999997272,52.38740199997123,311,255
528877,37,1520698456,5804382.99699,550686.641844,9.744778999994256,52.38735200002901,316,250
528878,37,1520698457,5804377.05076,550681.734531,9.74470600000275,52.38729900002951,322,245
528879,37,1520698458,5804370.99611,550677.100571,9.744637000000129,52.38724500003087,328,240
528880,37,1520698459,5804365.83479,550672.797715,9.744572999996938,52.38719900003257,333,236
528881,37,1520698460,5804359.43946,550667.486616,9.744494000007329,52.38714200003583,340,231
528882,37,1520698461,5804354.27814,550663.183739,9.744429999993509,52.38709599996014,345,226
528883,37,1520698462,5804348.77825,550658.4079,9.744358999995974,52.38704699999648,350,221
528884,37,1520698463,5804343.61345,550653.764728,9.74429000000755,52.38700100004317,355,217
528885,37,1520698464,5804338.90476,550650.205856,9.744236999997048,52.38695899999679,360,213
528886,37,1520698465,5804334.19538,550646.578922,9.744182999995513,52.38691700001871,365,209
528887,37,1520698466,5804330.83264,550644.095196,9.744146000005973,52.3868870000418,368,207
528888,37,1520698467,5804327.81548,550642.76498,9.744126000000538,52.38685999999398,371,206
528889,37,1520698468,5804325.68535,550641.153385,9.744102000003531,52.38684100001751,373,204
528890,37,1520698469,5804324.33661,550639.806001,9.74408199999679,52.38682899998948,375,203
528891,37,1520698470,5804322.64229,550637.305101,9.744044999999682,52.38681400000825,376,200
528892,37,1520698471,5804322.61218,550634.378701,9.744001999993504,52.38681399995741,376,197
528893,37,1520698472,5804323.04729,550633.421343,9.743987999992502,52.38681799995604,376,196
528894,37,1520698473,5804323.91612,550631.370517,9.74395800000752,52.3868260000388,375,194
528895,37,1520698474,5804327.68316,550629.902446,9.743936999998663,52.386859999998016,371,193
528896,37,1520698475,5804330.66811,550628.102108,9.743911000003855,52.386886999994346,368,191
528897,37,1520698476,5804333.98465,550626.094173,9.743882000007256,52.38691700004325,365,189
528898,37,1520698477,5804338.1917,550624.145144,9.743854000000091,52.3869549999738,361,187
528899,37,1520698478,5804342.39176,550621.515563,9.743815999995109,52.386992999979086,356,184
528900,37,1520698479,5804346.70375,550618.952899,9.743779000004356,52.38703199999261,352,182
528901,37,1520698480,5804348.78699,550616.004782,9.743736000006267,52.38705100003975,350,179
528902,37,1520698481,5804353.43826,550613.983137,9.743707000001535,52.38709300001148,345,177
528903,37,1520698482,5804358.86603,550611.749324,9.743674999997888,52.38714200001768,340,175
528904,37,1520698483,5804363.0521,550607.75866,9.743617000001848,52.38718000000392,336,171
528905,37,1520698484,5804367.24937,550604.856885,9.743574999995554,52.387218000008914,331,168
528906,37,1520698485,5804372.79117,550602.894166,9.74354700000742,52.38726800001002,326,166
528907,37,1520698486,5804376.99194,550600.332676,9.743510000001478,52.387306000006646,322,164
528908,37,1520698487,5804382.96466,550597.004292,9.743462000001683,52.38735999999428,316,160
528909,37,1520698488,5804389.71598,550593.667913,9.743414000003998,52.38742100000936,309,157
528910,37,1520698489,5804396.91221,550590.32697,9.74336600000475,52.38748599999269,301,154
528911,37,1520698490,5804403.66004,550586.650335,9.743312999996204,52.38754700003117,295,150
528912,37,1520698491,5804412.07139,550582.480183,9.743253000000507,52.387623000030025,286,146
528913,37,1520698492,5804420.03643,550578.178508,9.743191000006709,52.38769499999604,278,142
528914,37,1520698493,5804428.1169,550574.284029,9.743135000001164,52.38776799998796,270,138
528915,37,1520698494,5804435.30895,550570.534813,9.74308099999262,52.3878329999895,263,134
528916,37,1520698495,5804439.94626,550567.152162,9.743032000002508,52.3878750000025,258,131
528917,37,1520698496,5804444.61503,550566.831952,9.743028000006246,52.38791699998468,254,131
528918,37,1520698497,5804447.51604,550567.686944,9.743040999996548,52.38794299996169,251,132
528919,37,1520698498,5804451.39853,550566.626139,9.743026000006772,52.38797799999345,247,131
528920,37,1520698499,5804453.51326,550566.740535,9.743027999997864,52.387997000020455,245,131
528921,37,1520698500,5804456.05122,550564.740688,9.742998999995883,52.388019999976734,242,129
528922,37,1520698501,5804457.25376,550562.686501,9.742969000003024,52.38803100004281,241,127
528923,37,1520698502,5804456.34296,550560.654023,9.74293899999623,52.38802299999988,242,125
